epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3067,0.5338,2.43639,1.26365,0.64541,0.39018,0.37479,0.31994,0.69539,2.12691,0.96049,0.000298544,0.000298544,0.000298544
2,65.2568,0.28388,1.41789,1.01792,0.43131,0.48442,0.3651,0.2904,0.61999,1.80268,0.80628,0.000589634,0.000589634,0.000589634
3,95.4072,0.28387,1.33003,1.01948,0.52606,0.40779,0.24755,0.21306,0.5283,2.14185,0.66891,0.000868724,0.000868724,0.000868724
4,125.126,0.24237,1.30651,0.98496,0.4961,0.43867,0.252,0.18725,0.96137,1.9109,1.01561,0.000855005,0.000855005,0.000855005
5,152.811,0.25614,1.26241,0.99463,0.53036,0.52278,0.39071,0.32038,0.59285,1.83832,0.82618,0.000837007,0.000837007,0.000837007
6,183.209,0.24244,1.22363,0.99024,0.60841,0.51099,0.42056,0.35094,0.57203,1.40252,0.86353,0.000819009,0.000819009,0.000819009
7,213.546,0.21718,1.18703,0.98104,0.63531,0.46915,0.46278,0.40896,0.59546,1.26637,0.87331,0.000801011,0.000801011,0.000801011
8,243.745,0.20453,1.14671,0.97051,0.67622,0.4024,0.43848,0.3493,0.59725,1.51548,0.65974,0.000783013,0.000783013,0.000783013
9,273.358,0.19176,1.10153,0.96148,0.70902,0.50705,0.54746,0.4731,0.52098,1.18686,0.72672,0.000765014,0.000765014,0.000765014
10,301.027,0.19013,1.10879,0.96419,0.6451,0.46688,0.46422,0.43423,0.42723,1.40876,0.65866,0.000747016,0.000747016,0.000747016
11,331.757,0.18846,1.07915,0.96885,0.49073,0.51121,0.48442,0.44664,0.38136,1.20665,0.5084,0.000729018,0.000729018,0.000729018
12,359.579,0.17427,1.06469,0.94751,0.57684,0.55529,0.55534,0.49973,0.50909,1.06871,0.76239,0.00071102,0.00071102,0.00071102
13,388.275,0.16813,1.07025,0.94629,0.71476,0.50804,0.54259,0.46955,0.63903,1.21864,0.88169,0.000693022,0.000693022,0.000693022
14,418.342,0.16498,1.05283,0.95141,0.63453,0.55761,0.56802,0.52258,0.39649,1.06777,0.5821,0.000675023,0.000675023,0.000675023
15,451.408,0.1582,1.05161,0.95195,0.66905,0.49483,0.52016,0.481,0.40314,1.08866,0.58421,0.000657025,0.000657025,0.000657025
16,479.009,0.15042,1.02513,0.93599,0.53251,0.62724,0.5753,0.50213,0.50014,1.13799,0.68174,0.000639027,0.000639027,0.000639027
17,510.163,0.14753,0.98215,0.94194,0.6101,0.59694,0.55777,0.47392,0.48562,1.26008,0.67531,0.000621029,0.000621029,0.000621029
18,538.556,0.135,0.97713,0.92979,0.40514,0.69144,0.5719,0.52145,0.48962,1.03573,0.68105,0.000603031,0.000603031,0.000603031
19,568.132,0.14112,0.98334,0.93019,0.57612,0.6146,0.5628,0.48236,0.56749,1.09182,0.76619,0.000585032,0.000585032,0.000585032
20,598.295,0.13,0.95825,0.94016,0.73732,0.55976,0.58431,0.53882,0.44047,1.0088,0.60382,0.000567034,0.000567034,0.000567034
21,625.647,0.1305,0.97478,0.92032,0.46051,0.6677,0.58487,0.54523,0.38689,1.02153,0.53947,0.000549036,0.000549036,0.000549036
22,657.689,0.12832,0.99272,0.93671,0.57264,0.68105,0.61286,0.55195,0.44388,1.08459,0.62447,0.000531038,0.000531038,0.000531038
23,686.188,0.12222,0.91535,0.92158,0.59325,0.65078,0.56741,0.5257,0.41788,1.0236,0.58388,0.00051304,0.00051304,0.00051304
24,715.103,0.12655,0.90323,0.9322,0.45438,0.71006,0.6007,0.54493,0.43676,1.04118,0.5745,0.000495041,0.000495041,0.000495041
25,745.203,0.11453,0.88434,0.9279,0.57344,0.64343,0.57906,0.55309,0.36917,1.05384,0.48103,0.000477043,0.000477043,0.000477043
26,772.599,0.11334,0.91671,0.91101,0.61448,0.61448,0.61166,0.56432,0.41055,1.01391,0.59455,0.000459045,0.000459045,0.000459045
27,803.359,0.11555,0.86863,0.92917,0.45125,0.65262,0.60479,0.54227,0.42471,0.98152,0.54922,0.000441047,0.000441047,0.000441047
28,830.882,0.10193,0.86422,0.91115,0.61038,0.57593,0.5895,0.5694,0.3474,1.01072,0.47918,0.000423049,0.000423049,0.000423049
29,859.964,0.10592,0.87246,0.92242,0.64292,0.61697,0.62228,0.60262,0.31076,1.06046,0.43131,0.00040505,0.00040505,0.00040505
30,892.371,0.10122,0.83166,0.91253,0.66471,0.60997,0.61344,0.59906,0.3357,0.96816,0.4566,0.000387052,0.000387052,0.000387052
31,919.948,0.0958,0.85242,0.90869,0.66346,0.59258,0.602,0.57518,0.36447,0.99704,0.48558,0.000369054,0.000369054,0.000369054
32,950.074,0.09687,0.82908,0.91351,0.71963,0.60307,0.63281,0.59955,0.38287,0.99595,0.54891,0.000351056,0.000351056,0.000351056
33,978.722,0.0915,0.7923,0.91395,0.69621,0.59125,0.62791,0.60797,0.31861,1.08165,0.43585,0.000333058,0.000333058,0.000333058
34,1006.95,0.09413,0.8348,0.91215,0.68574,0.64714,0.61863,0.59881,0.32997,1.05614,0.46704,0.000315059,0.000315059,0.000315059
35,1036.82,0.08704,0.76333,0.90896,0.54457,0.66769,0.63907,0.59791,0.31037,0.97341,0.44547,0.000297061,0.000297061,0.000297061
36,1064.29,0.08598,0.75292,0.91319,0.70159,0.54851,0.62846,0.58867,0.33085,0.9805,0.46858,0.000279063,0.000279063,0.000279063
37,1094.35,0.08228,0.76705,0.9087,0.68954,0.61758,0.63049,0.60529,0.3137,1.00482,0.4289,0.000261065,0.000261065,0.000261065
38,1125.97,0.07504,0.76841,0.90642,0.66324,0.61369,0.62707,0.60568,0.3245,0.99515,0.45816,0.000243067,0.000243067,0.000243067
39,1154.52,0.07859,0.72457,0.91014,0.6948,0.6406,0.64442,0.60968,0.33251,1.00607,0.47353,0.000225068,0.000225068,0.000225068
40,1185,0.07305,0.73927,0.89955,0.67333,0.57174,0.635,0.60934,0.3485,1.05151,0.49218,0.00020707,0.00020707,0.00020707
41,1214.64,0.07359,0.81252,0.93097,0.55599,0.71925,0.64932,0.64144,0.29274,0.98565,0.41367,0.000189072,0.000189072,0.000189072
42,1242.78,0.05784,0.62156,0.92464,0.71751,0.58953,0.65099,0.64446,0.29072,0.89246,0.39882,0.000171074,0.000171074,0.000171074
43,1271.46,0.04925,0.63987,0.91336,0.67672,0.64308,0.65233,0.64483,0.2546,0.91376,0.3557,0.000153076,0.000153076,0.000153076
44,1298.72,0.04428,0.61165,0.90455,0.73161,0.59152,0.65928,0.64958,0.24658,0.94285,0.34329,0.000135077,0.000135077,0.000135077
45,1328.59,0.04509,0.5826,0.90336,0.74077,0.58465,0.67733,0.668,0.25379,0.90688,0.35397,0.000117079,0.000117079,0.000117079
46,1358.49,0.04222,0.59245,0.91104,0.51247,0.73608,0.65998,0.64504,0.26193,0.96781,0.36636,9.9081e-05,9.9081e-05,9.9081e-05
47,1388.18,0.05149,0.57004,0.91993,0.73527,0.59643,0.67739,0.67067,0.24355,0.96933,0.3395,8.10828e-05,8.10828e-05,8.10828e-05
48,1415.24,0.03793,0.5298,0.90072,0.73375,0.62646,0.68813,0.68185,0.22717,0.97516,0.31541,6.30846e-05,6.30846e-05,6.30846e-05
49,1444.61,0.03529,0.48327,0.90936,0.55937,0.73597,0.70752,0.69593,0.24354,0.9613,0.34235,4.50864e-05,4.50864e-05,4.50864e-05
50,1471.66,0.03555,0.50993,0.89675,0.60119,0.73232,0.71458,0.70793,0.23052,0.97822,0.3196,2.70882e-05,2.70882e-05,2.70882e-05
